story_title,story_img,story_link,tags
The 'magic' garden that protect this house from flooding,https://www.thecooldown.com/wp-content/uploads/2023/08/nCE2y2eaxBLA.jpg?w=1920&h=800,https://www.thecooldown.com/green-home/rain-garden-yard-transformation-native-plants/,flood
Scientists uncover promising new tactic to help communities recover from floods,https://www.thecooldown.com/wp-content/uploads/2023/08/ptz3H2kv7wyY.jpg?w=1920&h=800,https://www.thecooldown.com/outdoors/pine-slash-flood-forest-waste-soil-new-zealand/,flood
A new technology lets governments predict flash floods with 90% accuracy,https://www.thecooldown.com/wp-content/uploads/2023/07/3j7FsaKxysKZ.jpg?w=1920&h=800,https://www.thecooldown.com/green-tech/south-korea-flash-flood-forecast-technology/,flood
This city has a radical plan to prevent disastrous flooding before it starts,https://www.thecooldown.com/wp-content/uploads/2023/05/NoHu3tbTxy9kWg98uOYFYBmIcDs2kh-z8cSHJleQKeE.jpeg?w=1920&h=800,https://www.thecooldown.com/green-tech/north-creek-collective-vancouver-canada-waterfront-rebuild-proposal/,flood
These floating homes and office buildings help communities withstand flooding,https://www.thecooldown.com/wp-content/uploads/2023/01/bcc86ba2-1.jpeg?w=1920&h=800,https://www.thecooldown.com/green-tech/floating-office-rotterdam-netherlands-europe-sustainable/,flood
The Maldives is building an entire floating city,https://www.thecooldown.com/wp-content/uploads/2023/02/aa93be8b-1-1.jpeg?w=1920&h=800,https://www.thecooldown.com/green-tech/maldives-floating-city-first-waterstudio/,flood
Smart reefs' provide realtime information about storm surge and sea level rise,https://www.thecooldown.com/wp-content/uploads/2023/04/OXw9puNrj_r7SptuPhRWqfhDAnHzoT2aDa0k2PfukZQ.jpg?w=1920&h=800,https://www.thecooldown.com/outdoors/smart-reefs-sea-level-rise-climate-coral-artificial/,flood
AI can demonstrate the potential risks of moving to a climate-vulnerable area,https://www.thecooldown.com/wp-content/uploads/2023/04/0uXiZTq9owfEHtK9oibwrQyToh28JXhNWaL-wPnoZsk.jpg?w=1920&h=800,https://www.thecooldown.com/green-tech/floodvision-flood-ai-tech-algorithm/,flood
These 3D-printed homes can withstand intense storms and hurricanes,https://www.thecooldown.com/wp-content/uploads/2023/03/I8SHtEujwJkz30dIIeba_cZ2mcSUnGl-GQ4Y8Uk80eQ.jpeg?w=1920&h=800,https://www.thecooldown.com/green-tech/3d-printed-house-two-story-houston-concrete/,flood
Laser beams can be used to stop lightning strikes from causing damage,https://www.thecooldown.com/wp-content/uploads/2023/02/Dk574e6R5mrE.jpg?w=1920&h=800,https://www.thecooldown.com/green-tech/lightning-strikes-lasers-switzerland-protect-cities/,flood
Planting 'superhero moss' can prevent flooding by quickly absorbing water,https://www.thecooldown.com/wp-content/uploads/2022/11/d9095572.jpeg?w=1920&h=800,https://www.thecooldown.com/green-tech/superhero-moss-floods-sphagnum/,flood
Permeable pavements might be one of the secrets to preventing flash floods,https://www.thecooldown.com/wp-content/uploads/2023/01/permeable-pavement.jpg?w=1920&h=800,https://www.thecooldown.com/green-tech/permeable-pavement-flood-urban-area-temperature/,flood
"America's metropolises are becoming 'sponge cities' to deal with flooding, rain",https://www.thecooldown.com/wp-content/uploads/2022/12/a13e050b-1.jpeg?w=1920&h=800,https://www.thecooldown.com/green-tech/what-is-sponge-city-concept-pittsburgh/,flood
"What should you do during a flood? First, stay out of the water",https://www.thecooldown.com/wp-content/uploads/2022/11/ea358926-1.jpeg?w=1920&h=800,https://www.thecooldown.com/outdoors/what-should-you-do-during-a-flood/,flood
Neighborhood uses 'heat-reflective' paint to cool temperatures by over 10 degrees,https://www.thecooldown.com/wp-content/uploads/2022/10/V5lANHySqoJLSJ8MRgdaXAivPyglK0cV7mQtEdFEXLQ-1.jpeg,https://www.thecooldown.com/green-tech/heat-reflective-paint-los-angeles-cool-community-project/,heat/tech
"This high-tech, ultra-white paint can cool cities by 10 degrees",https://www.thecooldown.com/wp-content/uploads/2022/11/nJIJWKMttvISCsCq4I3PKQI9D5MZOLYg9wGD4JI4L8I-1.jpg,https://www.thecooldown.com/green-tech/ultra-white-paint-whitest-xuilin-ruan/,heat/tech
Major city just rolls out a secret weapon to combat stifling temperatures,https://www.thecooldown.com/wp-content/uploads/2023/07/mbKF45ARqb7x.jpg,https://www.thecooldown.com/wp-content/uploads/2023/07/mbKF45ARqb7x.jpg,heat/tech
Company has a plan to slash AC bills while cooling down sweltering streets ,https://www.thecooldown.com/wp-content/uploads/2023/05/RA5nlwbPS1xos5MA9AHd5nyZ4CdBsLlehzlNrM_a_Z8.jpeg,https://www.thecooldown.com/green-tech/bioshade-plants-cities-cooling-temperature/,heat/tech
Smart glass can help buildings lower their temperatures and energy use,https://www.thecooldown.com/wp-content/uploads/2022/10/ZTNXq6PmPS6NKtxQ0LS6Sn5o1rid8c6y9d5eHEtezqQ-1.jpeg,https://www.thecooldown.com/green-business/smart-glass-buildings-dynamic-transitional-lenses/,heat/business/tech
Getting plants'drunk' can help them withstand drought conditions,https://www.thecooldown.com/wp-content/uploads/2022/11/619407b8-1.jpeg,https://www.thecooldown.com/green-tech/is-alcohol-good-for-plants-drunk-drought/,heat/tech/agriculture
Researchers have developed a way to create 'heat-resistant plants',https://www.thecooldown.com/wp-content/uploads/2022/12/d994f3c8-1.jpeg,https://www.thecooldown.com/green-tech/heat-resistant-plants-thale-cress-drought/,heat/tech/agriculture
Google unveils new feature to combat extreme heat ,https://www.thecooldown.com/wp-content/uploads/2023/05/0hhiD4eUPXiwm-ClSO7Zv3pX9cyJNbDr_GxJMN5jPjk.jpeg,https://www.thecooldown.com/outdoors/google-extreme-heat-alerts/,heat/tech/outdoors
New way to keep swimming pools heated for cheap ,https://www.thecooldown.com/wp-content/uploads/2023/04/hfP7hK_Q-lUxs337X-US1kkeYf0xQwGrMl_ypRr8bHU.jpeg,https://www.thecooldown.com/green-tech/deep-green-data-centers-heated-swimming-pools-system/,heat/tech
"This stunning, air-conditioner-free home stays cool even in 90 degree weather",https://www.thecooldown.com/wp-content/uploads/2023/06/C4iZGvRtXRLW.jpg,https://www.thecooldown.com/green-home/casa-caoba-ac-free-home-colombia/,heat/tech/home
NY is making a huge change to its power grid right before blackout season,https://www.thecooldown.com/wp-content/uploads/2023/07/NGmeCKM9ws8M.jpg,https://www.thecooldown.com/green-business/con-edison-battery-system-solar-wind-nyc-staten/,heat/business/tech
Five tips to cool down your body during a heat wave,https://www.thecooldown.com/wp-content/uploads/2022/08/5MF07fnGpk80WgerF-IJq9aePimoYuoKtubdWTAUgTE-1-1.jpg,https://www.thecooldown.com/outdoors/5-tips-to-cool-down-your-body-during-a-heat-wave/,heat/tips/outdoors
A surprising factor helps Texas fight off their state’s deadly heat wave,https://www.thecooldown.com/wp-content/uploads/2023/07/DCtx4TpwXU4J.jpg,https://www.thecooldown.com/green-business/texas-solar-power-heated-water-bathroom/,heat/business/tech
